x;y;value
  0;  1;786432
  0;  2;    64
  0;  3;    64
  0;  4;    80
  0;  5;    64
  0;  6;    64
  0;  7;    64
  0;  8;    96
  0;  9;    64
  0; 10;    64
  0; 11;    64
  0; 12;    64
  0; 13;    64
  0; 14;    64
  0; 15;    64
  0; 16;   128
  0; 17;    64
  0; 18;    64
  0; 19;    64
  0; 20;    64
  0; 21;    64
  0; 22;    64
  0; 23;    64
  0; 24;    64
  0; 25;    64
  0; 26;    64
  0; 27;    64
  0; 28;    64
  0; 29;    64
  0; 30;    64
  0; 31;    64
  0; 32;   192
  0; 33;    64
  0; 34;    64
  0; 35;    64
  0; 36;    64
  0; 37;    64
  0; 38;    64
  0; 39;    64
  0; 40;    64
  0; 41;    64
  0; 42;    64
  0; 43;    64
  0; 44;    64
  0; 45;    64
  0; 46;    64
  0; 47;    64
  0; 48;    64
  0; 49;    64
  0; 50;    64
  0; 51;    64
  0; 52;    64
  0; 53;    64
  0; 54;    64
  0; 55;    64
  0; 56;    64
  0; 57;    64
  0; 58;    64
  0; 59;    64
  0; 60;    64
  0; 61;    64
  0; 62;    64
  0; 63;    64
  0; 64;786432
  0; 65;    64
  0; 66;    64
  0; 67;    64
  0; 68;    64
  0; 69;    64
  0; 70;    64
  0; 71;    64
  0; 72;    64
  0; 73;    64
  0; 74;    64
  0; 75;    64
  0; 76;    64
  0; 77;    64
  0; 78;    64
  0; 79;    64
  0; 80;    64
  0; 81;    64
  0; 82;    64
  0; 83;    64
  0; 84;    64
  0; 85;    64
  0; 86;    64
  0; 87;    64
  0; 88;    64
  0; 89;    64
  0; 90;    64
  0; 91;    64
  0; 92;    64
  0; 93;    64
  0; 94;    64
  0; 95;    64
  0; 96;    64
  0; 97;    64
  0; 98;    64
  0; 99;    64
  0;100;    64
  0;101;    64
  0;102;    64
  0;103;    64
  0;104;    64
  0;105;    64
  0;106;    64
  0;107;    64
  0;108;    64
  0;109;    64
  0;110;    64
  0;111;    64
  0;112;    64
  0;113;    64
  0;114;    64
  0;115;    64
  0;116;    64
  0;117;    64
  0;118;    64
  0;119;    64
  0;120;    64
  0;121;    64
  0;122;    64
  0;123;    64
  0;124;    64
  0;125;    64
  0;126;    64
  0;127;    64
  1;  0;786432
  1;  2;786432
  1;  3;    96
  1;  4;    96
  1;  5;   112
  1;  6;    96
  1;  7;    96
  1;  8;    96
  1;  9;   128
  1; 10;    96
  1; 11;    96
  1; 12;    96
  1; 13;    96
  1; 14;    96
  1; 15;    96
  1; 16;    96
  1; 17;   160
  1; 18;    96
  1; 19;    96
  1; 20;    96
  1; 21;    96
  1; 22;    96
  1; 23;    96
  1; 24;    96
  1; 25;    96
  1; 26;    96
  1; 27;    96
  1; 28;    96
  1; 29;    96
  1; 30;    96
  1; 31;    96
  1; 32;    96
  1; 33;   224
  1; 34;    96
  1; 35;    96
  1; 36;    96
  1; 37;    96
  1; 38;    96
  1; 39;    96
  1; 40;    96
  1; 41;    96
  1; 42;    96
  1; 43;    96
  1; 44;    96
  1; 45;    96
  1; 46;    96
  1; 47;    96
  1; 48;    96
  1; 49;    96
  1; 50;    96
  1; 51;    96
  1; 52;    96
  1; 53;    96
  1; 54;    96
  1; 55;    96
  1; 56;    96
  1; 57;    96
  1; 58;    96
  1; 59;    96
  1; 60;    96
  1; 61;    96
  1; 62;    96
  1; 63;    96
  1; 64;    96
  1; 65;786432
  1; 66;    96
  1; 67;    96
